legacy_path,action,destination,rule,review
/,live,/,served by the new site,
/about-1,redirect,/about,Wix About page,
/author/convesio,drop,,not content — left to 404,
/author/zacpowellclickmgmt-com-au,drop,,not content — left to 404,
/benefit-cosmetics,redirect,/work,"WordPress case study, not on the new site",
/case-studies,redirect,/work,WordPress case studies index,
/click-live-program,redirect,/talent-management,WordPress creator programme page,yes
/coke-mcdonalds-gamerfeeds,redirect,/work,"WordPress case study, not on the new site",
/contact,live,/contact,served by the new site,
/contact-us,redirect,/contact,WordPress contact page,
/contents/interviews,redirect,/talent,old creator filter archive,
/contents/reviews,redirect,/talent,old creator filter archive,
/contents/tutorials,redirect,/talent,old creator filter archive,
/contents/vlogs,redirect,/talent,old creator filter archive,
/creator,redirect,/talent,old roster path,
/creator-highlights,redirect,/talent,WordPress creator showcase,
/creator/aeroga,redirect,/talent,"old profile, creator not on the current roster",
/creator/alexace,redirect,/talent,"old profile, creator not on the current roster",
/creator/aussieantics,redirect,/talent/aussieantics,old profile of a current creator,
/creator/avajc,redirect,/talent,"old profile, creator not on the current roster",
/creator/bad-gal-shay,redirect,/talent,"old profile, creator not on the current roster",
/creator/bazerk,redirect,/talent,"old profile, creator not on the current roster",
/creator/big-juicy,redirect,/talent,"old profile, creator not on the current roster",
/creator/birdo,redirect,/talent,"old profile, creator not on the current roster",
/creator/boaroo,redirect,/talent,"old profile, creator not on the current roster",
/creator/bottoms-up,redirect,/talent,"old profile, creator not on the current roster",
/creator/built-by-gamers,redirect,/talent,"old profile, creator not on the current roster",
/creator/bundun,redirect,/talent/bundun,old profile of a current creator,
/creator/dagwummy,redirect,/talent,"old profile, creator not on the current roster",
/creator/drewdog,redirect,/talent,"old profile, creator not on the current roster",
/creator/dubdaddy,redirect,/talent,"old profile, creator not on the current roster",
/creator/eddievr,redirect,/talent/eddievr,old profile of a current creator,
/creator/eystreem,redirect,/talent,"old profile, creator not on the current roster",
/creator/eystreem-reacts,redirect,/talent,"old profile, creator not on the current roster",
/creator/firelight,redirect,/talent,"old profile, creator not on the current roster",
/creator/firelight-gamez,redirect,/talent,"old profile, creator not on the current roster",
/creator/fuziondroid,redirect,/talent,"old profile, creator not on the current roster",
/creator/gabby,redirect,/talent,"old profile, creator not on the current roster",
/creator/heyimnatalia,redirect,/talent,"old profile, creator not on the current roster",
/creator/heyimzed,redirect,/talent,"old profile, creator not on the current roster",
/creator/hopcat,redirect,/talent,"old profile, creator not on the current roster",
/creator/hoshizora,redirect,/talent,"old profile, creator not on the current roster",
