name,version,licence,licensor,homepage,scope
@acemir/cssom,0.9.31,MIT,Nikita Vasilyev,https://github.com/acemir/CSSOM#readme,runtime
@actions/core,3.0.1,MIT,,https://github.com/actions/toolkit/tree/main/packages/core,runtime
@actions/exec,3.0.0,MIT,,https://github.com/actions/toolkit/tree/main/packages/exec,runtime
@actions/github,9.1.1,MIT,,https://github.com/actions/toolkit/tree/main/packages/github,runtime
@actions/http-client,3.0.2,MIT,,https://github.com/actions/toolkit/tree/main/packages/http-client,runtime
@actions/http-client,4.0.1,MIT,,https://github.com/actions/toolkit/tree/main/packages/http-client,runtime
@actions/io,3.0.2,MIT,,https://github.com/actions/toolkit/tree/main/packages/io,runtime
@algorithm.ts/lcs,4.0.6,MIT,guanghechen,https://github.com/guanghechen/algorithm.ts/tree/@algorithm.ts/lcs@4.0.5/packages/lcs#readme,runtime
@alloc/quick-lru,5.2.0,MIT,Sindre Sorhus,https://github.com/sindresorhus/quick-lru#readme,build/dev
@architect/asap,7.0.10,Apache-2.0,,https://github.com/architect/asap#readme,runtime
@architect/hydrate,6.0.2,Apache-2.0,Brian LeRoux,https://github.com/architect/hydrate#readme,runtime
@architect/inventory,6.0.0,Apache-2.0,,https://github.com/architect/inventory#readme,runtime
@architect/inventory,6.1.0,Apache-2.0,,https://github.com/architect/inventory#readme,runtime
@architect/parser,8.0.1,Apache-2.0,Brian LeRoux,https://github.com/architect/parser#readme,runtime
@architect/utils,6.0.3,Apache-2.0,Brian LeRoux,https://github.com/architect/utils#readme,runtime
@asamuzakjp/css-color,5.1.11,MIT,asamuzaK,https://github.com/asamuzaK/cssColor#readme,runtime
@asamuzakjp/dom-selector,6.8.1,MIT,asamuzaK,https://github.com/asamuzaK/domSelector#readme,runtime
@asamuzakjp/dom-selector,7.1.1,MIT,asamuzaK,https://github.com/asamuzaK/domSelector#readme,runtime
@asamuzakjp/generational-cache,1.0.1,MIT,asamuzaK,https://github.com/asamuzaK/generationalCache,runtime
@asamuzakjp/nwsapi,2.3.9,MIT,Diego Perini,http://javascript.nwbox.com/nwsapi/,runtime
@aws-lite/client,0.21.10,Apache-2.0,,https://aws-lite.org,runtime
@aws-lite/client,0.23.7,Apache-2.0,,https://aws-lite.org,runtime
@aws-lite/s3,0.1.22,Apache-2.0,@architect,https://github.com/architect/aws-lite,runtime
@aws-lite/ssm,0.2.5,Apache-2.0,@architect,https://aws-lite.org/services/ssm,runtime
@babel/code-frame,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-code-frame,runtime
@babel/compat-data,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/core,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-core,runtime
@babel/generator,7.29.8,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-generator,runtime
@babel/helper-annotate-as-pure,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-annotate-as-pure,runtime
@babel/helper-compilation-targets,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/helper-create-class-features-plugin,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/helper-create-regexp-features-plugin,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/helper-define-polyfill-provider,0.6.8,MIT,,https://github.com/babel/babel-polyfills#readme,runtime
@babel/helper-globals,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/helper-member-expression-to-functions,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-member-expression-to-functions,runtime
@babel/helper-module-imports,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-module-imports,runtime
@babel/helper-module-transforms,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-module-transforms,runtime
@babel/helper-optimise-call-expression,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-optimise-call-expression,runtime
@babel/helper-plugin-utils,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-plugin-utils,runtime
@babel/helper-remap-async-to-generator,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-remap-async-to-generator,runtime
@babel/helper-replace-supers,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-replace-supers,runtime
@babel/helper-skip-transparent-expression-wrappers,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/helper-string-parser,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-string-parser,runtime
@babel/helper-validator-identifier,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/helper-validator-option,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/helper-wrap-function,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helper-wrap-function,runtime
@babel/helpers,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-helpers,runtime
@babel/parser,7.29.8,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-parser,runtime
@babel/plugin-bugfix-firefox-class-in-computed-class-key,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-bugfix-firefox-class-in-computed-class-key,runtime
@babel/plugin-bugfix-safari-class-field-initializer-scope,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-bugfix-safari-class-field-initializer-scope,runtime
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-bugfix-safari-id-destructuring-collision-in-function-expression,runtime
@babel/plugin-bugfix-safari-rest-destructuring-rhs-array,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-bugfix-safari-rest-destructuring-rhs-array,runtime
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-bugfix-v8-spread-parameters-in-optional-chaining,runtime
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-bugfix-v8-static-class-fields-redefine-readonly,runtime
@babel/plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-proposal-private-property-in-object,runtime
@babel/plugin-syntax-import-assertions,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/plugin-syntax-import-attributes,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/plugin-syntax-jsx,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-syntax-jsx,runtime
@babel/plugin-syntax-typescript,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-syntax-typescript,runtime
@babel/plugin-syntax-unicode-sets-regex,7.18.6,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-syntax-unicode-sets-regex,runtime
@babel/plugin-transform-arrow-functions,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-arrow-functions,runtime
@babel/plugin-transform-async-generator-functions,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-async-generator-functions,runtime
@babel/plugin-transform-async-to-generator,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-async-to-generator,runtime
@babel/plugin-transform-block-scoped-functions,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-block-scoped-functions,runtime
@babel/plugin-transform-block-scoping,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-block-scoping,runtime
@babel/plugin-transform-class-properties,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-class-properties,runtime
@babel/plugin-transform-class-static-block,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-class-static-block,runtime
@babel/plugin-transform-classes,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-classes,runtime
@babel/plugin-transform-computed-properties,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-computed-properties,runtime
@babel/plugin-transform-destructuring,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-destructuring,runtime
@babel/plugin-transform-dotall-regex,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-dotall-regex,runtime
@babel/plugin-transform-duplicate-keys,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-duplicate-keys,runtime
@babel/plugin-transform-duplicate-named-capturing-groups-regex,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-duplicate-named-capturing-groups-regex,runtime
@babel/plugin-transform-dynamic-import,7.29.7,MIT,The Babel Team,https://github.com/babel/babel#readme,runtime
@babel/plugin-transform-explicit-resource-management,7.29.7,MIT,The Babel Team,https://babel.dev/docs/en/next/babel-plugin-transform-explicit-resource-management,runtime
